amp1,x01,w1,y0
9.4,499.81,18.2,-0.02
13.22,500.83,16.95,0.05
13.47,497.17,16.31,-0.03
16.77,494.16,15.26,-0.03
18.97,494.7,14.57,-0.16
13.89,493.49,16.06,0.32
10.28,491.45,14.43,-0.01
6.38,491.82,14.69,-0.02
7.35,492.59,14.57,0.01
11.18,495.38,15.04,-0.04
18.86,496.17,14.44,-0.23
27.21,496.53,14.48,-0.11
25.94,497.63,14.56,-0.02
15.8,496.59,16.73,0.21
15.78,496.47,18.28,-0.03
18.55,497.7,18.26,0.18
9.8,495.17,14.68,-0.06
5.18,494.23,17.61,0.04
6.39,493.44,15.27,-0.18
6.18,492.53,14.89,0.02
4.3,494.82,15.43,-0.2
3.41,490.03,16.53,-0.08
5.04,495.9,17.86,0.12
10.48,495.19,16.58,0.04
15.55,495.29,18.05,-0.05
17.13,496.65,17.61,0.06
11.21,498.71,17.2,-0.02
5.95,494.34,16.93,-0.17
7.46,492.48,15.75,0.03
12.27,496.47,16.28,0.11
16.39,499.3,16.98,0.01
15.72,498.01,16.34,0.0
8.06,495.29,15.49,0.03
6.6,496.84,19.27,-0.09
12.61,496.24,16.74,-0.02
19.56,494.43,15.08,0.26
33.6,492.72,12.44,0.08
39.74,492.11,11.71,0.17
24.17,491.75,11.97,-0.03
11.02,493.74,15.3,0.03
11.93,496.43,17.27,0.27
13.31,495.75,15.93,-0.05
10.9,494.71,16.79,0.08
11.12,493.23,14.92,-0.17
14.82,495.01,15.04,0.03
14.64,493.44,13.67,0.02
10.0,492.16,12.9,0.06
9.86,493.71,14.58,-0.24
11.53,494.89,14.03,-0.03
12.07,494.59,14.57,0.12
16.78,492.89,13.2,-0.08
22.79,495.01,13.44,-0.3
23.4,495.32,14.1,0.05
25.53,495.73,14.1,0.11
19.2,495.54,14.99,-0.21
